Team,Win%,FG%,3P%,FT%,RBOff,RBDef
string,numeric,numeric,numeric,numeric,numeric,numeric
Atlanta,60.6,45.4,37,74,9.9,31.3
Boston,59.1,46,36.7,77.8,7.7,31.1
Brooklyn,33.3,42.5,34.2,77.7,11.9,28.5
Charlotte,10.6,41.4,29.5,74.6,10.3,28.7
Chicago,75.8,45.2,37.5,72.2,13.9,32.8
Cleveland,31.8,42.2,34.6,71.6,12.7,29.5
Dallas,54.5,44.3,33.9,77.1,10.1,32.7
Denver,57.6,47.6,33.2,73.5,11.2,31.9
Detroit,37.9,43.8,34.6,75.2,11.7,28.5
Golden State,34.8,45.7,38.8,77,9.7,29.5
Houston,51.5,44.9,35.9,78.2,11.7,30.5
Indiana,63.6,43.8,36.8,78.2,12.5,31.4
LA Clippers,60.6,45.5,35.7,68,12.1,29.4
LA Lakers,62.1,45.7,32.6,75.6,12.1,34.1
Memphis,62.1,44.7,32.6,75.9,12.6,29.5
Miami,69.7,46.9,35.9,77.5,10.4,31.2
Milwaukee,47,44.3,34.5,77.4,12.4,30
Minnesota,39.4,43.3,33.2,77.1,12.1,31.7
New Orleans,31.8,45.1,33.3,75.7,11,30.2
New York,54.5,44.3,33.6,74.1,11.3,30.5
Oklahoma City,71.2,47.1,35.8,80.6,11,32.7
Orlando,56.1,44.1,37.5,66,11.2,31.2
Philadelphia,53,44.8,36.2,74.2,10.7,32.5
Phoenix,50,45.8,34.3,75.7,10.9,30.8
Portland,42.4,44.3,34.6,79.6,11.1,29.5
Sacramento,33.3,43.6,31.6,73.6,13.4,29.5
San Antonio,75.8,47.8,39.3,74.8,10.3,32.6
Toronto,34.8,44,34,77,10.6,31.4
Utah,54.5,45.6,32.3,75.4,13,31.1
Washington,30.3,44.1,32,72.7,11.7,29.9